id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
tm137013,The Ryan White Story,MOVIE,1989,,102,['drama'],['US'],7.2,857
tm157853,In Defense of a Married Man,MOVIE,1990,,94,"['drama', 'crime']",['US'],5.6,200
tm157603,Dil,MOVIE,1990,,172,"['romance', 'comedy', 'drama']",['IN'],6.6,5273
tm45720,Bye Bye London,MOVIE,1982,,170,"['comedy', 'drama']",['KW'],8.7,154
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,100,['drama'],['US'],7.1,144
tm151332,"Alexandria, Again and Forever",MOVIE,1989,,105,['drama'],"['EG', 'FR']",6.5,643
tm24110,Strange Voices,MOVIE,1987,,100,['drama'],['US'],6.3,357
tm348735,Aakhri Adaalat,MOVIE,1988,,148,"['action', 'crime', 'thriller']",['IN'],5.1,92
tm51083,A Stoning in Fulham County,MOVIE,1988,,120,"['crime', 'drama', 'thriller']",['US'],5.8,380
tm126791,The Married Couples,MOVIE,1981,,194,['drama'],['EG'],,
tm186777,Sayed The Servant,MOVIE,1985,,166,['comedy'],['EG'],,
tm311264,Muqaddar Ka Faisla,MOVIE,1987,,172,"['comedy', 'drama', 'family', 'action']",['IN'],4.8,68
tm172482,Sohni Mahiwal,MOVIE,1984,,160,"['romance', 'action', 'drama']",['IN'],6.1,297
tm52274,The Little Wars,MOVIE,1982,,108,"['drama', 'war', 'european']","['FR', 'LB']",6.3,149
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,81,['comedy'],['US'],,
tm342996,Duniya,MOVIE,1984,,170,"['drama', 'action']",['IN'],6.2,241
ts63001,High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],3.8,6
tm411457,Pyar Ke Do Pal,MOVIE,1986,,153,"['drama', 'action']",['IN'],6.1,65
tm371359,Jaal,MOVIE,1986,,159,"['drama', 'thriller', 'action']",['IN'],5.2,122
tm446654,Mujrim,MOVIE,1989,,162,"['drama', 'action', 'crime']",['IN'],5.4,188
tm47673,An Egyptian Story,MOVIE,1982,,129,"['fantasy', 'drama']",['EG'],7.3,1113
tm419052,Ek Jaan Hain Hum,MOVIE,1983,,151,"['family', 'romance']",['IN'],6.3,70
tm11556,The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",6.5,92224
ts20981,Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],7.4,24368
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",8.4,90196
ts21223,Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],7.6,172
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],8.8,1994599
tm106462,Happy Gilmore,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],7,217534
ts20339,One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],8.8,112586
tm57554,Saving Private Ryan,MOVIE,1998,R,169,"['drama', 'war']",['US'],8.6,1346020
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],8.9,112887
ts20927,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],8.1,61145
ts5145,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],7.8,3274
tm192405,Gattaca,MOVIE,1997,PG-13,106,"['thriller', 'drama', 'scifi']",['US'],7.8,298168
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8.2,119054
tm55553,Blade,MOVIE,1998,R,120,"['action', 'scifi', 'horror']",['US'],7.1,267181
tm56574,You've Got Mail,MOVIE,1998,PG,119,"['romance', 'drama', 'comedy']",['US'],6.7,209258
tm192037,Starship Troopers,MOVIE,1997,R,129,"['scifi', 'thriller', 'action']",['US'],7.3,288960
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],8.5,64727
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",7.8,9708
tm191989,Donnie Brasco,MOVIE,1997,R,127,"['thriller', 'drama', 'crime']",['US'],7.7,300073
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],6.5,21949
tm65686,U.S. Marshals,MOVIE,1998,PG-13,126,"['thriller', 'crime', 'action']",['US'],6.5,103263
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],6.2,3808
tm54903,Wild Things,MOVIE,1998,R,108,"['drama', 'thriller', 'crime', 'european']",['US'],6.6,118811
tm187187,Last Action Hero,MOVIE,1993,PG-13,130,"['comedy', 'action', 'fantasy']",['US'],6.4,149290
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,"['drama', 'history', 'war']",['US'],7.1,141308
tm191848,The Devil's Advocate,MOVIE,1997,,144,"['horror', 'thriller', 'drama']","['DE', 'US']",7.5,361422
tm121879,A River Runs Through It,MOVIE,1992,PG,123,['drama'],['US'],7.2,59086
tm44402,"Girl, Interrupted",MOVIE,1999,R,127,"['drama', 'european']","['US', 'DE']",7.3,180532
ts22489,Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",7.6,13361
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.2,20888
ts21034,InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],7.9,15823
tm53419,Any Given Sunday,MOVIE,1999,R,162,"['drama', 'sport']",['US'],6.9,118479
tm189764,Menace II Society,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],7.5,57399
tm9323,Desperado,MOVIE,1995,R,104,"['thriller', 'action', 'crime', 'western', 'european']",['US'],7.1,183638
tm46173,The Mask of Zorro,MOVIE,1998,PG-13,136,"['action', 'thriller', 'western', 'comedy', 'romance']",['US'],6.8,181306
tm19673,The Patriot,MOVIE,2000,R,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",7.2,270231
tm24877,Road Trip,MOVIE,2000,R,93,['comedy'],['US'],6.5,167670
tm189433,Free Willy,MOVIE,1993,PG,112,"['drama', 'family']","['US', 'FR']",6,75244
ts251477,My First Errand,SHOW,1991,TV-G,19,['reality'],['JP'],,
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,93,"['action', 'comedy', 'family', 'sport']","['US', 'JP']",4.5,9208
tm187791,In the Line of Fire,MOVIE,1993,R,128,"['drama', 'thriller', 'action', 'crime']",['US'],7.2,101939
tm19494,The Replacements,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],6.6,64087
tm10739,Johnny Mnemonic,MOVIE,1995,R,97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",5.6,71062
tm113576,Little Women,MOVIE,1994,PG,115,"['drama', 'family', 'romance']",['US'],7.3,57621
tm191387,Anaconda,MOVIE,1997,PG-13,89,"['thriller', 'horror', 'action']","['PE', 'US', 'BR']",4.8,103459
tm6859,My Girl,MOVIE,1991,PG,103,"['comedy', 'drama', 'family', 'romance', 'european']",['US'],6.9,79800
tm186589,Cliffhanger,MOVIE,1993,R,112,"['thriller', 'action', 'animation']","['IT', 'US', 'FR']",6.5,128179
tm191374,I Know What You Did Last Summer,MOVIE,1997,R,101,"['horror', 'thriller']",['US'],5.7,142696
tm8446,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,88,"['scifi', 'action', 'comedy', 'family']","['US', 'HK']",6,55499
ts8570,Barney & Friends,SHOW,1992,TV-G,28,['family'],['US'],3.8,9955
tm21596,Hollow Man,MOVIE,2000,R,112,"['scifi', 'action', 'horror', 'thriller']","['DE', 'US']",5.8,130099
tm48430,Godzilla,MOVIE,1998,PG-13,133,"['thriller', 'scifi', 'action']",['US'],5.4,191722
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,"['scifi', 'action', 'drama', 'fantasy', 'animation']",['JP'],8,51938
tm192199,Spawn,MOVIE,1997,PG-13,96,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",['US'],5.2,67761
tm184205,Dennis the Menace,MOVIE,1993,PG,95,"['comedy', 'family']",['US'],5.6,60779
tm12499,The Net,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],5.9,66127
tm192431,The Devil's Own,MOVIE,1997,R,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],6.2,64625
tm56033,Croupier,MOVIE,1998,R,94,"['thriller', 'european', 'crime', 'drama']","['FR', 'IE', 'GB', 'DE']",7,21382
tm190486,Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']","['HK', 'US']",4.7,33128
tm61103,The General's Daughter,MOVIE,1999,R,116,"['drama', 'crime', 'thriller']","['US', 'DE']",6.4,58726
tm117488,The Next Karate Kid,MOVIE,1994,PG,107,"['drama', 'family', 'romance', 'sport', 'action']",['US'],4.5,30138
tm55732,I Still Know What You Did Last Summer,MOVIE,1998,R,100,"['thriller', 'horror']",['US'],4.7,73269
tm191431,Double Team,MOVIE,1997,R,93,"['scifi', 'action', 'comedy', 'thriller']","['US', 'HK']",4.7,34127
tm17721,Under Suspicion,MOVIE,2000,R,110,"['thriller', 'crime', 'drama', 'european']",['US'],6.5,25432
