name,genre
Crimes of Passion,Drama
The Philadelphia Experiment,Adventure
Places in the Heart,Drama
Bolero,Comedy
Cannonball Run II,Action
Stranger Than Paradise,Comedy
The Ice Pirates,Action
A Passage to India,Adventure
Purple Rain,Drama
The Hotel New Hampshire,Comedy
The Hit,Crime
Sheena,Adventure
Missing in Action,Action
"Greystoke: The Legend of Tarzan, Lord of the Apes",Adventure
The Muppets Take Manhattan,Adventure
The Wild Life,Comedy
Falling in Love,Drama
Gwendoline,Action
Breakin',Comedy
Birdy,Drama
The Company of Wolves,Drama
Ghoulies,Comedy
Electric Dreams,Comedy
Cloak & Dagger,Action
Racing with the Moon,Comedy
"Silent Night, Deadly Night",Horror
The Pope of Greenwich Village,Action
All of Me,Comedy
"Grandview, U.S.A.",Drama
Where the Boys Are,Comedy
Reckless,Comedy
Tightrope,Crime
Rhinestone,Comedy
The Flamingo Kid,Comedy
Up the Creek,Comedy
Swing Shift,Drama
Beat Street,Drama
Joy of Sex,Comedy
Breakin' 2: Electric Boogaloo,Comedy
The Razor's Edge,Drama
Tank,Action
Moscow on the Hudson,Comedy
Ninja III: The Domination,Action
The Warrior and the Sorceress,Adventure
The Evil That Men Do,Action
Firstborn,Drama
Cut and Run,Adventure
Teachers,Comedy
Repentance,Drama
The River,Drama
Razorback,Horror
A Soldier's Story,Crime
Comfort and Joy,Comedy
Meatballs Part II,Comedy
Lassiter,Action
Irreconcilable Differences,Comedy
City Heat,Action
Under the Volcano,Drama
Iceman,Drama
Flashpoint,Action
The Little Drummer Girl,Drama
Lust in the Dust,Comedy
Hot Moves,Comedy
Oxford Blues,Comedy
Thief of Hearts,Crime
The Brother from Another Planet,Comedy
No Small Affair,Comedy
Broadway Danny Rose,Comedy
Best Defense,Comedy
Micki + Maude,Comedy
Protocol,Comedy
Exterminator 2,Action
American Dreamer,Comedy
The Lonely Guy,Comedy
Choose Me,Comedy
Making the Grade,Comedy
Full Moon in Paris,Comedy
Unfaithfully Yours,Comedy
Impulse,Horror
Mrs. Soffel,Drama
Garbo Talks,Comedy
Country,Drama
Cheech & Chong's the Corsican Brothers,Comedy
Purple Hearts,Drama
Give My Regards to Broad Street,Drama
Songwriter,Drama
Finders Keepers,Comedy
The Bostonians,Drama
Body Rock,Drama
The River Rat,Adventure
Just the Way You Are,Comedy
Until September,Drama
Crackers,Adventure
Kaos,Comedy
Misunderstood,Drama
Mike's Murder,Drama
The Buddy System,Drama
A Private Function,Comedy
Scandalous,Comedy
"Oh, God! You Devil",Comedy
The Bay Boy,Drama
Heavenly Bodies,Drama
Heartbreakers,Drama
Champions,Biography
A Sunday in the Country,Drama
Mass Appeal,Drama
Windy City,Drama
Lovelines,Comedy
The Bear,Biography
Weekend Pass,Comedy
Over the Brooklyn Bridge,Comedy
Fast Talking,Drama
Lily in Love,Comedy
Winter Flight,Drama
Almost You,Comedy
The Adventures of Pinocchio,Animation
Blame It on the Night,Comedy
Petit Con,Comedy
